Study,Country,Design,N_Patients,N_Controls,Age_Range,Population,Biomarkers,Quality
Suomalainen et al. 2011,Finland,Case-control,67,67,18-65,Adult muscle disease,FGF-21,High
Davis et al. 2013,Australia,Case-control,76,83,2-78,Mixed pediatric/adult,"FGF-21, GDF-15",High
Koene et al. 2014,Netherlands,Case-control,70,70,25-72,Adult,GDF-15,High
Yatsuga et al. 2015,Japan,Case-control,96,100,1-85,Mixed ages,"FGF-21, GDF-15",High
Montero et al. 2016,Spain,Case-control,51,51,0.5-18,Pediatric,"FGF-21, GDF-15",High
Ji et al. 2019,China,Case-control,42,48,18-67,Adult,GDF-15,High
Poulsen et al. 2019,Denmark,Case-control,38,42,22-68,Adult,GDF-15,High
Tsygankova et al. 2019,Russia,Case-control,45,55,1-65,Mixed ages,"FGF-21, GDF-15",High
Maresca et al. 2020,Italy,Prospective cohort,123,89,5-78,Mixed ages,Multiple panel,High
Haas et al. 2008,USA,Case-control,113,45,1-75,Mixed ages,Lactate,Moderate
