Study_ID,Biomarker,Population,N_Patients,N_Controls,N_Total,TP,FP,FN,TN,Sensitivity_%,Specificity_%,DOR,LR_Positive,LR_Negative
Haas2008,Lactate,Mixed ages,113,45,158,68,8,45,37,60.2,82.2,7.0,3.38,0.48
Debray2007,Lactate,Pediatric,89,67,156,62,13,27,54,69.7,80.6,9.5,3.59,0.38
Naess2009,Lactate,Mixed ages,156,89,245,78,18,78,71,50.0,79.8,3.9,2.47,0.63
Balasubramaniam2011,Lactate,Pediatric,67,45,112,47,9,20,36,70.1,80.0,9.4,3.51,0.37
Koene2014,GDF-15,Adult,70,70,140,56,10,14,60,80.0,85.7,24.0,5.60,0.23
Yatsuga2015,GDF-15,Mixed ages,96,100,196,71,10,25,90,74.0,90.0,25.6,7.40,0.29
Montero2016,GDF-15,Pediatric,51,51,102,36,7,15,44,70.6,86.3,15.1,5.14,0.34
Ji2019,GDF-15,Mixed ages,42,48,90,34,7,8,41,81.0,85.4,24.9,5.55,0.22
Poulsen2019,GDF-15,Adult,38,42,80,30,6,8,36,78.9,85.7,22.5,5.53,0.25
Davis2013_GDF15,GDF-15,Mixed pediatric/adult,76,83,159,61,12,15,71,80.3,85.5,24.1,5.55,0.23
Tsygankova2019_GDF15,GDF-15,Mixed ages,45,55,100,38,8,7,47,84.4,85.5,31.9,5.81,0.18
Suomalainen2011,FGF-21,Adult muscle disease,67,67,134,44,0,23,67,65.7,100.0,Inf,Inf,0.34
Davis2013,FGF-21,Mixed pediatric/adult,76,83,159,52,13,24,70,68.4,84.3,11.7,4.37,0.37
Yatsuga2015,FGF-21,Mixed ages,96,100,196,70,15,26,85,72.9,85.0,15.3,4.86,0.32
Montero2016_FGF21,FGF-21,Pediatric,51,51,102,36,8,15,43,70.6,84.3,12.9,4.50,0.35
Tsygankova2019_FGF21,FGF-21,Mixed ages,45,55,100,32,11,13,44,71.1,80.0,9.8,3.56,0.36
